Date,GDP Growth Rate (%),Inflation Rate (%),Consumer Sentiment Index,Industry Trends
2023-01-01,1.2998564909851866,2.001257421944482,71,Market consolidation
2023-01-02,0.8823392349304993,1.1793179813891523,77,Sustainability focus
2023-01-03,1.2941740922413287,2.604551936849129,104,Emerging technology trends
2023-01-04,1.3945030904153604,2.0337848152502165,82,Sustainability focus
2023-01-05,1.2079716008834847,1.8611907240888255,72,Market consolidation
2023-01-06,0.5914920566982877,2.3873564111892116,109,E-commerce boom
2023-01-07,1.6152417630135238,2.73021040402955,70,Sustainability focus
2023-01-08,2.293283514086726,2.3564194270526295,83,E-commerce boom
2023-01-09,1.121292079057116,1.5630002311794777,70,E-commerce boom
2023-01-10,2.358980779245006,2.053106328263287,89,Sustainability focus
2023-01-11,1.18733693984218,2.740783220985099,103,E-commerce boom
2023-01-12,2.2167269937539222,2.816614267839735,76,Market consolidation
2023-01-13,0.8058977031832206,1.1115249009649693,84,Sustainability focus
2023-01-14,0.7625339597252734,1.802796011396213,78,Market consolidation
2023-01-15,0.6480461639885344,2.8857547234735303,81,Emerging technology trends
2023-01-16,1.8672296333024359,1.6920518140360696,107,Sustainability focus
2023-01-17,0.8304727391238407,2.679125436729469,108,Emerging technology trends
2023-01-18,0.7943252070411086,2.6908535414768373,72,Emerging technology trends
2023-01-19,1.9199931179688683,2.732806516580194,75,Emerging technology trends
2023-01-20,0.882762376171544,1.5244578928695396,98,E-commerce boom
2023-01-21,1.1074143599660113,1.9362121256799376,104,Emerging technology trends
2023-01-22,1.3543437639982487,1.181477021097248,92,Emerging technology trends
2023-01-23,2.034120102978373,2.5010550535980522,94,Emerging technology trends
2023-01-24,0.5082092045089641,2.035326587212082,81,Emerging technology trends
2023-01-25,2.4481377765380765,2.8452780739341748,77,Sustainability focus
2023-01-26,1.3637141409683864,2.2592292505429485,87,E-commerce boom
2023-01-27,0.7664448777601147,1.2651347185620734,89,E-commerce boom
2023-01-28,0.5732723919631875,1.2126421896979742,79,Market consolidation
2023-01-29,1.2073157695566263,1.00260665961171,70,Market consolidation
2023-01-30,2.312310477135414,2.714083652088232,74,E-commerce boom
2023-01-31,1.4169499320123629,2.9302403797523864,91,Market consolidation
2023-02-01,1.0623291177222314,2.4555489490302014,109,Sustainability focus
2023-02-02,0.9553556045351184,1.9974856146124456,78,Emerging technology trends
2023-02-03,0.7737675606492267,2.1053407666562736,105,E-commerce boom
2023-02-04,1.5280750258226798,1.2876056065821035,82,E-commerce boom
2023-02-05,1.751373938632954,1.897371417238005,105,Emerging technology trends
2023-02-06,0.9466783885411418,2.776191168131228,108,E-commerce boom
2023-02-07,2.1778637691030625,1.7053005601671443,101,Sustainability focus
2023-02-08,1.0264153697416494,2.3091033698449603,74,Sustainability focus
2023-02-09,2.3132637074694404,2.201667526306239,103,Sustainability focus
2023-02-10,1.3600629707804317,1.240593319624115,87,E-commerce boom
2023-02-11,1.4575546060923188,1.5979705021542625,83,Emerging technology trends
2023-02-12,0.9859866137468483,2.4669919733341206,104,Sustainability focus
2023-02-13,2.2267778718596625,1.6299500553991495,89,Emerging technology trends
2023-02-14,0.8618420685432213,1.6282569359385852,79,Emerging technology trends
2023-02-15,1.7575277779196636,2.437030749775386,96,E-commerce boom
2023-02-16,1.9537718791633611,1.3761794672776215,70,Sustainability focus
2023-02-17,0.7950783888786062,2.8749988930389634,94,Sustainability focus
2023-02-18,2.429182508682941,1.7446493138214598,95,Emerging technology trends
2023-02-19,2.3315312155676846,2.6924523136597545,76,Emerging technology trends
2023-02-20,1.4565628344259216,1.3859012709172909,76,Market consolidation
2023-02-21,1.0504925209285434,1.6648111195913062,83,E-commerce boom
2023-02-22,1.8336824223565593,1.709318848791976,79,Market consolidation
2023-02-23,1.8594347960060236,2.2755718875773487,77,E-commerce boom
2023-02-24,1.5249337254559234,2.8819263306709977,100,Sustainability focus
2023-02-25,0.6388205405916021,1.8554206957106611,70,E-commerce boom
2023-02-26,1.5429942711108007,1.6753885918795721,108,E-commerce boom
2023-02-27,0.5045115455640659,2.386225367965298,79,E-commerce boom
2023-02-28,2.001694757174098,1.9590651152330034,100,Market consolidation
2023-03-01,2.2864366934334344,2.420551332590109,81,Sustainability focus
2023-03-02,1.619884386421304,2.3148447977671753,79,Emerging technology trends
2023-03-03,0.9596115581056512,1.8467222091583482,107,E-commerce boom
2023-03-04,1.6187300266205367,1.9532385259081702,72,Market consolidation
2023-03-05,2.4864724001031258,1.4678705445788645,84,E-commerce boom
2023-03-06,2.0465331834413156,2.0992484898809947,89,Emerging technology trends
2023-03-07,2.0825761989896563,2.376514761331072,109,Emerging technology trends
2023-03-08,2.1034390271174037,1.5818505381322001,103,Sustainability focus
2023-03-09,1.472418069682257,1.9260757388627057,87,Market consolidation
2023-03-10,1.963452623464879,2.8828893539122205,85,E-commerce boom
